Severity,County,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Crossing,Junction,Railway,Roundabout,Stop,Traffic_Signal,Sunrise_Sunset,Year,Month,Hour,DayOfWeek
3,Harris,TX,73.0,50.0,10.0,12.0,,Fair,False,False,False,False,False,False,Day,2021.0,11.0,16.0,4.0
2,Fairfax County,VA,60.0,93.0,6.0,14.0,0.02,Light Rain,False,False,False,False,False,False,Day,2022.0,10.0,12.0,5.0
2,Morris,NJ,70.0,88.0,10.0,0.0,0.0,Mostly Cloudy,False,False,False,False,False,False,Night,2020.0,9.0,2.0,0.0
2,San Diego,CA,80.0,39.0,10.0,8.0,0.0,Fair,False,False,False,False,False,False,Day,2019.0,10.0,13.0,6.0
2,Riverside,CA,55.0,74.0,10.0,,,Clear,False,False,False,False,False,False,Night,2017.0,10.0,6.0,2.0
2,Dallas,TX,73.0,47.0,10.0,9.0,0.0,Mostly Cloudy,False,False,False,False,False,False,Day,2020.0,11.0,11.0,1.0
2,Polk,IA,80.1,64.0,10.0,10.4,,Overcast,False,False,False,False,False,False,Day,2016.0,8.0,14.0,0.0
3,DuPage,IL,59.0,83.0,6.0,17.3,0.09,Light Rain,True,False,False,False,False,True,Night,2017.0,2.0,17.0,1.0
2,Los Angeles,CA,54.0,80.0,6.0,0.0,0.0,Haze,False,False,False,False,False,False,Night,2020.0,11.0,0.0,1.0
2,Washington,MN,70.0,93.0,10.0,7.0,0.0,Cloudy,False,False,False,False,False,False,Day,2021.0,8.0,10.0,4.0
2,Escambia,FL,55.0,96.0,6.0,8.0,0.0,Cloudy,False,False,False,False,False,False,Day,2020.0,12.0,8.0,2.0
2,Davidson,TN,75.0,64.0,10.0,0.0,0.0,Fair,False,False,False,False,False,False,Night,2021.0,9.0,19.0,1.0
2,Perry,MO,32.0,100.0,4.0,5.0,0.0,Light Snow,False,True,False,False,False,False,Night,2023.0,1.0,5.0,2.0
2,Laurens,SC,81.0,69.0,10.0,0.0,0.0,Fair,False,False,False,False,False,False,Day,2019.0,9.0,9.0,2.0
2,Pinellas,FL,56.0,77.0,10.0,16.0,0.0,Fair,False,False,False,False,False,False,Day,2023.0,1.0,7.0,1.0
2,Catawba,NC,36.0,55.0,10.0,9.2,,Clear,False,False,False,False,False,False,Night,2018.0,2.0,6.0,4.0
2,Los Angeles,CA,68.0,14.0,10.0,3.0,0.0,Fair,False,True,False,False,False,False,Day,,,,
3,Denver,CO,36.0,67.0,10.0,,,Overcast,False,False,False,False,False,False,Day,2017.0,11.0,7.0,1.0
2,Plumas,CA,32.0,100.0,80.0,6.0,0.0,Patches of Fog,False,False,False,False,False,False,Day,2021.0,12.0,7.0,4.0
2,Washoe,NV,56.0,15.0,10.0,14.0,0.0,Fair,False,True,False,False,False,False,Day,2022.0,5.0,13.0,4.0
2,Lee,FL,68.0,96.0,9.0,3.5,,Partly Cloudy,True,False,False,False,False,False,Night,2018.0,12.0,4.0,4.0
2,San Mateo,CA,75.2,31.0,10.0,9.2,,Scattered Clouds,False,False,False,False,False,False,Day,2016.0,10.0,15.0,3.0
2,Mecklenburg,NC,71.6,69.0,10.0,9.2,,Overcast,True,False,False,False,False,True,Day,2017.0,8.0,14.0,1.0
2,Miami-Dade,FL,75.0,66.0,10.0,13.0,0.0,Fair,False,False,False,False,False,True,Day,2022.0,4.0,19.0,1.0
3,Nassau,NY,60.0,78.0,10.0,6.0,0.0,Partly Cloudy,False,False,False,False,False,False,Night,2020.0,11.0,18.0,3.0
3,Oklahoma,OK,85.0,48.0,10.0,0.0,0.0,Fair,False,False,False,False,False,True,Day,2020.0,5.0,19.0,4.0
2,Marion,IN,44.0,63.0,10.0,14.0,0.0,Mostly Cloudy,False,False,False,False,False,False,Day,,,,
2,Winnebago,WI,72.0,94.0,10.0,0.0,0.0,Fair,False,False,False,False,False,False,Day,2019.0,7.0,8.0,2.0
2,Beaufort,SC,56.0,90.0,10.0,0.0,0.0,Fair,False,False,False,False,False,False,Day,2021.0,3.0,7.0,6.0
2,Los Angeles,CA,73.0,71.0,10.0,3.0,0.0,Fair,False,False,False,False,False,False,Night,2022.0,8.0,19.0,6.0
3,Montgomery,MD,39.2,93.0,4.0,3.5,,Overcast,False,True,False,False,False,False,Night,2018.0,2.0,4.0,4.0
2,Jefferson,KY,10.0,73.0,10.0,,,Clear,False,False,False,False,False,False,Day,2019.0,1.0,8.0,0.0
2,Dallas,TX,44.0,73.0,10.0,5.0,0.0,Fair,False,False,False,False,False,False,Night,,,,
2,Monroe,NY,37.0,75.0,10.0,17.0,0.0,Cloudy,True,False,False,False,False,False,Night,2020.0,12.0,0.0,3.0
2,Hoke,NC,80.0,79.0,4.0,6.0,0.01,Light Rain,False,False,False,False,False,False,Day,2022.0,8.0,15.0,3.0
2,Summit,UT,,,,,,,False,False,False,False,False,False,Night,2019.0,8.0,22.0,2.0
2,Travis,TX,73.0,51.0,10.0,3.0,0.0,Fair,False,False,False,False,False,False,Night,2020.0,11.0,18.0,2.0
2,Dallas,TX,74.0,27.0,10.0,14.0,0.0,Fair,False,False,False,False,False,False,Day,2022.0,4.0,18.0,3.0
2,Wake,NC,70.0,93.0,4.0,8.0,0.02,Light Rain,False,False,False,False,False,False,Day,2020.0,9.0,10.0,3.0
2,Essex,MA,41.0,96.0,10.0,,,Clear,False,False,False,False,False,False,Night,2016.0,10.0,6.0,2.0
2,Lake,IL,55.9,90.0,10.0,4.6,,Clear,False,False,False,False,False,True,Day,2016.0,10.0,18.0,0.0
2,Monterey,CA,61.0,64.0,10.0,10.4,,Clear,False,False,False,False,False,False,Day,2019.0,1.0,13.0,2.0
2,Cabarrus,NC,73.0,53.0,10.0,3.0,0.0,Cloudy,False,False,False,False,False,False,Day,2022.0,4.0,18.0,1.0
2,Barnstable,MA,69.1,100.0,7.0,4.6,,Mostly Cloudy,False,False,False,False,False,False,Night,2017.0,7.0,3.0,6.0
2,Richland,SC,44.0,100.0,10.0,0.0,0.0,Fair,True,False,True,False,False,False,Day,2020.0,11.0,7.0,0.0
2,San Bernardino,CA,54.0,19.0,10.0,5.0,0.0,Fair,False,True,False,False,False,False,Day,,,,
2,Riverside,CA,66.0,27.0,10.0,0.0,0.0,Fair,False,False,False,False,False,False,Day,2020.0,2.0,9.0,4.0
2,Travis,TX,61.0,52.0,10.0,4.6,,Overcast,False,False,False,False,False,False,Day,2017.0,3.0,9.0,2.0
2,Montgomery,PA,44.0,96.0,3.0,0.0,0.05,Light Rain,False,False,False,False,False,False,Day,2020.0,5.0,17.0,4.0
2,Los Angeles,CA,79.0,13.0,10.0,0.0,0.0,Fair,False,False,False,False,False,False,Day,2022.0,11.0,14.0,6.0
2,Dallas,TX,45.0,57.0,13.0,7.0,0.0,Mostly Cloudy,False,True,False,False,False,False,Day,2021.0,1.0,10.0,5.0
2,Harris,TX,54.0,97.0,8.0,0.0,0.0,Shallow Fog,False,False,False,False,False,True,Night,2020.0,11.0,22.0,0.0
4,Susquehanna,PA,57.0,42.0,10.0,0.0,0.0,Fair,False,False,False,False,False,False,Night,2022.0,4.0,22.0,5.0
2,Riverside,CA,36.0,35.0,10.0,0.0,0.0,Fair,False,False,False,False,False,False,Night,2019.0,10.0,5.0,1.0
2,Henrico,VA,45.0,34.0,10.0,3.0,0.0,Fair,False,False,False,False,False,False,Night,2021.0,12.0,18.0,2.0
3,Harris,TX,84.2,70.0,10.0,8.1,,Clear,False,False,False,False,False,False,Day,2016.0,10.0,16.0,2.0
2,Buncombe,NC,52.0,69.0,10.0,10.0,0.0,Mostly Cloudy,False,False,False,False,False,False,Day,2021.0,4.0,7.0,3.0
2,Los Angeles,CA,86.0,31.0,10.0,12.0,,Fair,False,False,False,False,False,False,Day,,,,
2,Kent,MI,24.1,81.0,10.0,6.9,,Mostly Cloudy,True,False,False,False,False,True,Night,2016.0,12.0,8.0,2.0
2,Harris,TX,60.0,83.0,10.0,3.0,0.0,Fair,False,False,False,False,False,True,Night,2020.0,11.0,5.0,4.0
3,Hamilton,TN,70.0,31.0,10.0,6.9,,Scattered Clouds,False,False,False,False,False,False,Day,2018.0,4.0,13.0,4.0
2,Pinellas,FL,88.0,59.0,10.0,9.0,0.0,Fair,False,False,False,False,False,False,Day,2021.0,7.0,20.0,5.0
2,Frederick,MD,63.0,94.0,0.25,3.0,0.0,Light Rain,False,False,False,False,False,False,Night,2021.0,10.0,5.0,3.0
2,Baltimore County,MD,49.0,35.0,10.0,20.0,0.0,Mostly Cloudy,False,False,False,False,False,False,Night,2022.0,3.0,6.0,2.0
2,Terrebonne,LA,86.0,74.0,10.0,0.0,0.0,Cloudy,False,False,False,False,False,False,Day,2021.0,9.0,10.0,4.0
2,Davidson,TN,79.0,62.0,10.0,8.0,0.0,Mostly Cloudy,True,False,False,False,False,False,Day,2019.0,5.0,10.0,3.0
2,Charleston,SC,45.0,22.0,10.0,10.4,,Clear,False,False,False,False,False,False,Day,2018.0,1.0,13.0,3.0
4,Rock,WI,82.4,58.0,10.0,5.8,,Partly Cloudy,False,False,False,False,False,False,Day,2016.0,8.0,18.0,0.0
2,Winona,MN,95.0,28.0,10.0,7.0,0.0,Fair,False,False,False,False,False,False,Day,2021.0,6.0,16.0,4.0
2,Prince George's,MD,86.0,63.0,10.0,7.0,0.0,Partly Cloudy,False,False,False,False,False,False,Day,2021.0,8.0,16.0,5.0
2,Ramsey,MN,87.1,49.0,10.0,10.4,,Clear,False,True,False,False,False,False,Day,2017.0,7.0,12.0,3.0
2,Los Angeles,CA,95.0,19.0,10.0,10.0,0.0,Fair,False,False,False,False,False,False,Day,,,,
2,Richland,SC,78.0,35.0,10.0,5.0,0.0,Fair,False,False,False,False,False,False,Day,2022.0,4.0,17.0,4.0
3,Davidson,TN,52.0,45.0,10.0,5.0,0.0,Partly Cloudy,False,False,False,False,False,False,Day,2022.0,1.0,16.0,4.0
2,Los Angeles,CA,44.6,100.0,5.0,,,Light Rain,False,False,False,False,False,False,Night,2019.0,2.0,2.0,1.0
2,Greenville,SC,51.0,31.0,,8.0,0.0,Fair,False,False,False,False,False,False,Day,2020.0,2.0,12.0,4.0
2,Los Angeles,CA,93.0,11.0,10.0,13.0,0.0,Fair,False,False,False,False,False,True,Day,2019.0,10.0,15.0,0.0
2,Contra Costa,CA,55.0,74.0,10.0,9.0,0.0,Fair,False,False,False,False,False,False,Night,2019.0,4.0,3.0,4.0
2,Davidson,TN,79.0,74.0,10.0,3.0,0.0,Mostly Cloudy,False,False,False,False,False,False,Night,,,,
2,San Mateo,CA,59.0,82.0,10.0,0.0,0.0,Partly Cloudy,False,False,False,False,False,False,Day,2021.0,6.0,9.0,3.0
3,Manatee,FL,83.0,79.0,10.0,6.0,0.0,Fair,False,False,False,False,False,False,Night,2020.0,9.0,19.0,5.0
3,Montgomery,AL,46.0,,9.0,0.0,0.0,Fair,False,False,False,False,False,False,Night,2020.0,11.0,22.0,1.0
2,Los Angeles,CA,59.0,87.0,3.0,0.0,0.0,Cloudy,False,False,False,False,False,False,Night,2021.0,11.0,6.0,3.0
2,Clay,MO,73.0,61.0,10.0,8.0,0.0,Cloudy,False,False,False,False,False,False,Day,2021.0,10.0,15.0,1.0
2,Nassau,NY,81.0,52.0,10.0,8.1,,Clear,True,False,False,False,False,True,Day,2017.0,8.0,12.0,3.0
2,Sarasota,FL,59.0,93.0,6.0,6.0,0.02,Light Rain,False,False,False,False,False,False,Night,2021.0,2.0,5.0,2.0
2,Washington,MN,30.0,100.0,1.0,12.0,0.0,Light Snow,False,False,False,False,False,False,Day,2021.0,3.0,18.0,0.0
2,Centre,PA,45.0,86.0,10.0,6.0,0.0,Fair,False,False,False,False,False,False,Night,,,,
2,Miami-Dade,FL,66.0,36.0,10.0,8.0,0.0,Fair,False,False,False,False,False,False,Day,2021.0,1.0,17.0,1.0
2,Harris,TX,68.0,73.0,9.0,6.9,,Mostly Cloudy,False,False,False,False,True,False,Day,2017.0,11.0,9.0,1.0
2,Montgomery,PA,35.6,87.0,10.0,,,Clear,False,False,False,False,False,False,Night,2016.0,12.0,18.0,2.0
2,La Paz,AZ,56.0,47.0,10.0,16.0,0.0,Fair,False,False,False,False,False,False,Night,2021.0,2.0,4.0,6.0
3,Contra Costa,CA,54.0,93.0,3.0,10.0,0.13,Light Rain,False,False,False,False,False,False,Day,2021.0,12.0,10.0,0.0
2,Los Angeles,CA,69.0,73.0,8.0,8.0,0.0,Partly Cloudy,False,False,False,False,False,False,Day,2020.0,6.0,14.0,1.0
2,Kern,CA,45.0,86.0,4.0,3.0,0.07,Light Rain,False,False,False,False,False,False,Day,2021.0,12.0,13.0,1.0
2,Montgomery,AL,70.0,95.0,9.0,7.0,0.03,Light Rain,False,False,False,False,False,False,Night,2020.0,5.0,20.0,4.0
3,Wayne,MI,84.0,43.0,10.0,12.0,0.0,Fair,False,False,False,False,False,False,Day,2020.0,7.0,18.0,2.0
2,Pueblo,CO,23.0,74.0,10.0,17.0,0.0,Partly Cloudy,False,False,False,False,False,False,Night,2022.0,4.0,2.0,5.0
2,Davidson,TN,58.0,53.0,10.0,7.0,0.0,Fair,False,False,False,False,False,False,Day,2020.0,5.0,8.0,3.0
2,Washoe,NV,23.0,36.0,10.0,7.0,0.0,Light Snow,False,False,False,False,False,False,Day,2020.0,10.0,8.0,0.0
2,Kern,CA,69.0,40.0,10.0,6.0,0.0,Fair,False,False,False,False,False,False,Night,2020.0,5.0,21.0,2.0
2,Montgomery,PA,37.0,,6.0,12.0,0.1,N/A Precipitation,True,False,False,False,False,False,Day,,,,
2,Frederick,MD,34.0,87.0,2.0,8.0,0.0,Snow,False,False,False,False,False,False,Day,2021.0,2.0,10.0,0.0
2,Pinellas,FL,64.0,100.0,10.0,6.0,0.0,Fair,False,False,False,False,False,False,Night,2021.0,1.0,23.0,4.0
2,Washoe,NV,40.0,41.0,10.0,0.0,0.0,Fair,True,False,False,False,False,True,Day,,,,
2,Los Angeles,CA,51.0,52.0,10.0,5.0,0.0,Fair,False,False,False,False,False,False,Day,2021.0,12.0,7.0,4.0
2,Loudoun,VA,18.0,54.0,10.0,13.0,0.0,Mostly Cloudy,False,False,False,False,False,False,Night,2022.0,1.0,6.0,4.0
